Cell,Start,End,Task,Note
AGV,0,0,Fetch,INV->INV
AGV,0,20,Delivery,INV->Cell1
Cell1,20,275,A2,
AGV,275,275,Fetch,Cell1->Cell1
AGV,275,295,Delivery,Cell1->Cell2-2
Cell2-2,295,605,A2,
AGV,295,335,Fetch,Cell2-2->INV
AGV,335,355,Delivery,INV->Cell1
Cell1,355,610,A2,
AGV,585,605,Fetch,Cell1->Cell2-2
AGV,605,625,Delivery,Cell2-2->Cell3
Cell3,625,980,A2,
AGV,625,665,Fetch,Cell3->Cell1
AGV,665,685,Delivery,Cell1->Cell2-1
Cell2-1,685,995,A2,
AGV,685,725,Fetch,Cell2-1->INV
AGV,725,745,Delivery,INV->Cell1
Cell1,745,1060,A3,
AGV,940,980,Fetch,Cell1->Cell3
AGV,980,1000,Delivery,Cell3->Trans
AGV,1000,1040,Fetch,Trans->Cell2-1
AGV,1040,1060,Delivery,Cell2-1->Cell3
Cell3,1060,1415,A2,
AGV,1060,1100,Fetch,Cell3->Cell1
AGV,1100,1120,Delivery,Cell1->Cell2-2
Cell2-2,1120,1375,A3,
AGV,1120,1160,Fetch,Cell2-2->INV
AGV,1160,1180,Delivery,INV->Cell1
Cell1,1180,1495,A3,
AGV,1375,1415,Fetch,Cell1->Cell3
AGV,1415,1435,Delivery,Cell3->Trans
AGV,1435,1475,Fetch,Trans->Cell2-2
AGV,1475,1495,Delivery,Cell2-2->Cell3
Cell3,1495,1905,A3,
AGV,1495,1535,Fetch,Cell3->Cell1
AGV,1535,1555,Delivery,Cell1->Cell2-1
Cell2-1,1555,1810,A3,
AGV,1555,1595,Fetch,Cell2-1->INV
AGV,1595,1615,Delivery,INV->Cell1
Cell1,1615,1870,A2,
AGV,1870,1870,Fetch,Cell1->Cell1
AGV,1870,1890,Delivery,Cell1->Cell2-2
Cell2-2,1890,2200,A2,
AGV,1890,1910,Fetch,Cell2-2->Cell3
AGV,1910,1930,Delivery,Cell3->Trans
AGV,1930,1970,Fetch,Trans->Cell2-1
AGV,1970,1990,Delivery,Cell2-1->Cell3
Cell3,1990,2400,A3,
AGV,1990,2050,Fetch,Cell3->INV
AGV,2050,2070,Delivery,INV->Cell1
Cell1,2070,2325,A2,
AGV,2325,2325,Fetch,Cell1->Cell1
AGV,2325,2345,Delivery,Cell1->Cell2-1
Cell2-1,2345,2655,A2,
AGV,2345,2385,Fetch,Cell2-1->INV
AGV,2385,2405,Delivery,INV->Cell1
Cell1,2405,2660,A2,
AGV,2405,2445,Fetch,Cell1->Cell3
AGV,2445,2465,Delivery,Cell3->Trans
AGV,2465,2505,Fetch,Trans->Cell2-2
AGV,2505,2525,Delivery,Cell2-2->Cell3
Cell3,2525,2880,A2,
AGV,2620,2660,Fetch,Cell3->Cell1
AGV,2660,2680,Delivery,Cell1->Cell2-2
Cell2-2,2680,2990,A2,
AGV,2680,2720,Fetch,Cell2-2->INV
AGV,2720,2740,Delivery,INV->Cell1
Cell1,2740,3155,A4,
AGV,2840,2880,Fetch,Cell1->Cell3
AGV,2880,2900,Delivery,Cell3->Trans
AGV,2900,2940,Fetch,Trans->Cell2-1
AGV,2940,2960,Delivery,Cell2-1->Cell3
Cell3,2960,3315,A2,
AGV,3115,3155,Fetch,Cell3->Cell1
AGV,3155,3175,Delivery,Cell1->Cell2-1
Cell2-1,3175,3515,A4,
AGV,3175,3215,Fetch,Cell2-1->INV
AGV,3215,3235,Delivery,INV->Cell1
Cell1,3235,3550,A3,
AGV,3275,3315,Fetch,Cell1->Cell3
AGV,3315,3335,Delivery,Cell3->Trans
AGV,3335,3375,Fetch,Trans->Cell2-2
AGV,3375,3395,Delivery,Cell2-2->Cell3
Cell3,3395,3750,A2,
AGV,3510,3550,Fetch,Cell3->Cell1
AGV,3550,3570,Delivery,Cell1->Cell2-2
Cell2-2,3570,3825,A3,
AGV,3570,3610,Fetch,Cell2-2->INV
AGV,3610,3630,Delivery,INV->Cell1
Cell1,3630,3945,A3,
AGV,3710,3750,Fetch,Cell1->Cell3
AGV,3750,3770,Delivery,Cell3->Trans
AGV,3770,3810,Fetch,Trans->Cell2-1
AGV,3810,3830,Delivery,Cell2-1->Cell3
Cell3,3830,4140,A4,
AGV,3905,3945,Fetch,Cell3->Cell1
AGV,3945,3965,Delivery,Cell1->Cell2-1
Cell2-1,3965,4220,A3,
AGV,3965,4005,Fetch,Cell2-1->INV
AGV,4005,4025,Delivery,INV->Cell1
Cell1,4025,4340,A3,
AGV,4100,4140,Fetch,Cell1->Cell3
AGV,4140,4160,Delivery,Cell3->Trans
AGV,4160,4200,Fetch,Trans->Cell2-2
AGV,4200,4220,Delivery,Cell2-2->Cell3
Cell3,4220,4630,A3,
AGV,4300,4340,Fetch,Cell3->Cell1
AGV,4340,4360,Delivery,Cell1->Cell2-2
Cell2-2,4360,4615,A3,
AGV,4360,4400,Fetch,Cell2-2->INV
AGV,4400,4420,Delivery,INV->Cell1
Cell1,4420,4735,A3,
AGV,4590,4630,Fetch,Cell1->Cell3
AGV,4630,4650,Delivery,Cell3->Trans
AGV,4650,4690,Fetch,Trans->Cell2-2
AGV,4690,4710,Delivery,Cell2-2->Cell3
Cell3,4710,5120,A3,
AGV,4710,4750,Fetch,Cell3->Cell1
AGV,4750,4770,Delivery,Cell1->Cell2-2
Cell2-2,4770,5025,A3,
AGV,4770,4810,Fetch,Cell2-2->INV
AGV,4810,4830,Delivery,INV->Cell1
Cell1,4830,5155,A1,
AGV,5080,5120,Fetch,Cell1->Cell3
AGV,5120,5140,Delivery,Cell3->Trans
AGV,5140,5180,Fetch,Trans->Cell2-2
AGV,5180,5200,Delivery,Cell2-2->Cell3
Cell3,5200,5610,A3,
AGV,5200,5240,Fetch,Cell3->Cell1
AGV,5240,5260,Delivery,Cell1->Cell2-2
Cell2-2,5260,5660,A1,
AGV,5260,5300,Fetch,Cell2-2->INV
AGV,5300,5320,Delivery,INV->Cell1
Cell1,5320,5575,A2,
AGV,5570,5610,Fetch,Cell1->Cell3
AGV,5610,5630,Delivery,Cell3->Trans
AGV,5630,5670,Fetch,Trans->Cell2-2
AGV,5670,5690,Delivery,Cell2-2->Cell3
Cell3,5690,6065,A1,
AGV,5690,5730,Fetch,Cell3->Cell1
AGV,5730,5750,Delivery,Cell1->Cell2-2
Cell2-2,5750,6060,A2,
AGV,5750,5790,Fetch,Cell2-2->INV
AGV,5790,5810,Delivery,INV->Cell1
Cell1,5810,6225,A4,
AGV,6025,6065,Fetch,Cell1->Cell3
AGV,6065,6085,Delivery,Cell3->Trans
AGV,6085,6125,Fetch,Trans->Cell2-2
AGV,6125,6145,Delivery,Cell2-2->Cell3
Cell3,6145,6500,A2,
AGV,6185,6225,Fetch,Cell3->Cell1
AGV,6225,6245,Delivery,Cell1->Cell2-2
Cell2-2,6245,6585,A4,
AGV,6245,6285,Fetch,Cell2-2->INV
AGV,6285,6305,Delivery,INV->Cell1
Cell1,6305,6630,A1,
AGV,6460,6500,Fetch,Cell1->Cell3
AGV,6500,6520,Delivery,Cell3->Trans
AGV,6520,6560,Fetch,Trans->Cell2-1
AGV,6560,6580,Delivery,Cell2-1->Cell3
Cell3,6580,6990,A3,
AGV,6590,6630,Fetch,Cell3->Cell1
AGV,6630,6650,Delivery,Cell1->Cell2-1
Cell2-1,6650,7050,A1,
AGV,6650,6690,Fetch,Cell2-1->INV
AGV,6690,6710,Delivery,INV->Cell1
Cell1,6710,7025,A3,
AGV,6950,6990,Fetch,Cell1->Cell3
AGV,6990,7010,Delivery,Cell3->Trans
AGV,7010,7050,Fetch,Trans->Cell2-2
AGV,7050,7070,Delivery,Cell2-2->Cell3
Cell3,7070,7380,A4,
AGV,7070,7110,Fetch,Cell3->Cell1
AGV,7110,7130,Delivery,Cell1->Cell2-2
Cell2-2,7130,7385,A3,
AGV,7130,7170,Fetch,Cell2-2->INV
AGV,7170,7190,Delivery,INV->Cell1
Cell1,7190,7445,A2,
AGV,7340,7380,Fetch,Cell1->Cell3
AGV,7380,7400,Delivery,Cell3->Trans
AGV,7400,7440,Fetch,Trans->Cell2-2
AGV,7440,7460,Delivery,Cell2-2->Cell3
Cell3,7460,7870,A3,
AGV,7460,7500,Fetch,Cell3->Cell1
AGV,7500,7520,Delivery,Cell1->Cell2-2
Cell2-2,7520,7830,A2,
AGV,7520,7560,Fetch,Cell2-2->INV
AGV,7560,7580,Delivery,INV->Cell1
Cell1,7580,7905,A1,
AGV,7830,7870,Fetch,Cell1->Cell3
AGV,7870,7890,Delivery,Cell3->Trans
AGV,7890,7930,Fetch,Trans->Cell2-2
AGV,7930,7950,Delivery,Cell2-2->Cell3
Cell3,7950,8305,A2,
AGV,7950,7990,Fetch,Cell3->Cell1
AGV,7990,8010,Delivery,Cell1->Cell2-2
Cell2-2,8010,8410,A1,
AGV,8010,8050,Fetch,Cell2-2->INV
AGV,8050,8070,Delivery,INV->Cell1
Cell1,8070,8325,A2,
AGV,8265,8305,Fetch,Cell1->Cell3
AGV,8305,8325,Delivery,Cell3->Trans
AGV,8325,8365,Fetch,Trans->Cell2-1
AGV,8365,8385,Delivery,Cell2-1->Cell3
Cell3,8385,8760,A1,
AGV,8385,8425,Fetch,Cell3->Cell1
AGV,8425,8445,Delivery,Cell1->Cell2-1
Cell2-1,8445,8755,A2,
AGV,8445,8485,Fetch,Cell2-1->INV
AGV,8485,8505,Delivery,INV->Cell1
Cell1,8505,8820,A3,
AGV,8720,8760,Fetch,Cell1->Cell3
AGV,8760,8780,Delivery,Cell3->Trans
AGV,8780,8820,Fetch,Trans->Cell2-2
AGV,8820,8840,Delivery,Cell2-2->Cell3
Cell3,8840,9215,A1,
AGV,8840,8880,Fetch,Cell3->Cell1
AGV,8880,8900,Delivery,Cell1->Cell2-2
Cell2-2,8900,9155,A3,
AGV,8900,8940,Fetch,Cell2-2->INV
AGV,8940,8960,Delivery,INV->Cell1
Cell1,8960,9285,A1,
AGV,9175,9215,Fetch,Cell1->Cell3
AGV,9215,9235,Delivery,Cell3->Trans
AGV,9235,9275,Fetch,Trans->Cell2-2
AGV,9275,9295,Delivery,Cell2-2->Cell3
Cell3,9295,9705,A3,
AGV,9295,9335,Fetch,Cell3->Cell1
AGV,9335,9355,Delivery,Cell1->Cell2-2
Cell2-2,9355,9755,A1,
AGV,9355,9395,Fetch,Cell2-2->INV
AGV,9395,9415,Delivery,INV->Cell1
Cell1,9415,9740,A1,
AGV,9665,9705,Fetch,Cell1->Cell3
AGV,9705,9725,Delivery,Cell3->Trans
